idx,label,id,type,source
139923,"Hanaki, Taiken.",ey7jz47r,Person,contributor
499689,"Hull, Rebecca Antoinette.",usyhaync,Person,contributor
197342,"Grönwall, Anders, 1912-",h23atb22,Person,contributor
67011,"Henri, Pierre",cdebp8dn,Person,contributor
114078,"Edwards, Felicity, professor of divinity",e2rpc3rf,Person,contributor
109701,"Sandon, H.",dw34azga,Person,contributor
534556,"Lorimer, C",w2v8xwjr,Person,contributor
44838,"Mead, Margaret, 1901-1978.",bmdx9832,Person,contributor
199467,"Ovid, 43 B.C.-17 A.D. or 18 A.D. Metamorphoses. English.",h4evvxjw,Agent,contributor
396513,"Kann, Jacques.",r54fjkx5,Person,contributor
203643,"Ivimey-Cook, W. R. (Walter Robert), 1901-1952.",h976cxt2,Person,contributor
101878,"Aylett, Stanley Osborn, 1911-2003.",dmjgjeha,Person,subject
157301,"Gardiner, James.",fkmprz4u,Person,contributor
61233,"Coen, Clive Warwick.",c74npqc4,Person,contributor
143845,"Casa de Maternidad, Mexico City, Mexico",f4ksp5bz,Agent,contributor
524956,"Michaelis, Johann David",vq8kcppw,Person,contributor
432367,"Crouzet, Marcel.",sdjptt4g,Person,contributor
312096,"Anderson, Howard R.",n59588n5,Person,contributor
581985,"Wigmore, John",xr3c4t7q,Person,contributor
55371,"Wright, Samuel",byr7kr6c,Person,contributor
268779,"Rabanus Maurus, Archbishop of Mainz 784?-856",kk2qnn8y,Person,contributor
504073,"Villain, P. (Paul)",uxym826c,Person,contributor
95895,Ottway.,ddxd4fjs,Person,contributor
258767,"Beyckert, Johann Philipp.",k7x9mjyh,Person,contributor
377678,"Cannao, Milena.",qfcnw5tk,Person,contributor
61292,"Beveridge, Henry, 1837-1929.",c76ja4n6,Person,contributor
613809,"Taylor, Robert, active 1737-1755.",yun4h9ss,Person,contributor
338255,"Sticker, Georg.",p37brwrz,Person,contributor
352570,"Gillam, Edith Emily.",pjxmtuym,Person,contributor
332114,"Schmid, Felix",nubzr6cc,Person,contributor
611522,Horton,ys4w84mt,Person,contributor
228641,"Sagan, Olivia",j5uxx39g,Person,contributor
561322,"Kitto, Grace.",wzaqhxrp,Person,contributor
246129,"Hopkins, Daniel",js2ppn9d,Person,contributor
537276,"Cunnington, C. Willett (Cecil Willett), 1878-1961.",w5u7exy2,Person,contributor
387183,"Abderrezzâq, el-Jezâïrî, approximately 1700-approximately 1796.",qsqs8x3q,Person,subject
411492,"Miller, Foil A.",rnfmm6up,Person,contributor
348659,"Cohen, John Simon Henry, 1937-2000.",pep4twpw,Person,subject
225196,"Stebbins, Ernest L. (Ernest Lyman), 1901-",hzzc8feg,Person,contributor
140143,"Laslett, Barbara.",eydxec7x,Person,contributor
